iter	Passed	Remaining
0	1	115
1	1	96
2	2	88
3	3	80
4	4	78
5	4	77
6	5	76
7	6	76
8	7	75
9	8	73
10	8	72
11	9	71
12	10	69
13	11	68
14	11	67
15	12	66
16	13	65
17	14	66
18	15	67
19	16	67
20	17	65
21	18	64
22	19	64
23	20	63
24	20	62
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	50
40	34	49
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	38	42
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	53	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	69	9
88	70	8
89	71	7
90	72	7
91	73	6
92	73	5
93	74	4
94	75	3
95	75	3
96	76	2
97	77	1
98	78	0
99	79	0
